COUPON_UPC,PRODUCT_ID,CAMPAIGN
10000089061,27160,4
10000089064,27754,9
10000089073,28897,12
51800009050,28919,28
52100000076,28929,25
52100000031,28929,22
52100000033,28929,9
52100026076,28929,28
52100020075,28929,1
52100000076,29096,25
52100000031,29096,22
52100000033,29096,9
52100026076,29096,28
52100020075,29096,1
51600070033,29340,9
51111090125,29479,28
52840000033,29789,25
10000089061,29977,4
52840000033,30177,25
51800009050,30531,28
51600070033,30699,9
51200000009,31126,25
53450050033,31349,4
53450050022,31349,28
51600070033,31999,9
51200000009,32124,25
51800000050,32272,12
51111030050,32387,1
52840000033,32456,25
53450050033,32491,4
53450050022,32491,28
51111030050,32805,1
51800000050,32918,12
53620010028,33061,20
51111030050,33198,1
52840000033,33247,25
10000089072,33555,10
52840000033,33882,25
54610000076,33965,21
55200017313,34138,23
55200017313,34142,23
52100000076,34180,25
52100020075,34180,1
52100000033,34180,9
52100000031,34180,22
52100026076,34180,28
54100014076,34214,20
54100010032,34214,27
54100010032,34214,3
54100010032,34214,27
54100010032,34214,27
54100010032,34214,27
54100010032,34214,14
52100000076,34331,25
52100020075,34331,1
52100026076,34331,28
52100000033,34331,9
52100000031,34331,22
10000085498,34341,25
55200017313,34385,23
57027211076,34505,23
57027210033,34505,29
51800000050,34742,12
52100000076,34776,25
52100000031,34776,22
52100020075,34776,1
52100000033,34776,9
52100026076,34776,28
52270011076,35159,16
52840000033,35511,25
10000085496,35656,24
10000085495,35656,24
51600070033,35828,9
52100000076,36185,25
54400021032,36185,22
55100090033,36375,22
54400000032,37154,23
54400000033,37154,29
10000085378,37154,9
55200017313,37308,23
55100090033,37678,22
57756765034,37756,25
57756765034,37756,17
55200017313,38266,23
52100000076,39897,25
54400021032,39897,22
51111032250,40439,28
57756765034,40440,25
57756765034,40440,17
10000085496,40476,24
10000085495,40476,24
53800050033,41363,12
57756765034,41376,25
57756765034,41376,17
55200017313,41394,23
10000085486,41780,22
10000089316,41783,22
10000085486,41979,22
10000085486,42143,22
54900050082,42385,25
10000085486,42660,22
53377610033,42721,29
53377610033,42721,28
10000085486,43094,22
10000089073,43871,12
10000085486,44522,22
10000085486,44531,22
10000085487,45339,22
10000089073,45507,12
57680000025,45800,12
57680000024,45800,28
10000089316,47327,22
58768484040,47456,25
57680000025,47725,12
57680000024,47725,28
58768484040,47857,25
57756765034,47996,25
57756765034,47996,17
57756765034,48081,25
57756765034,48081,17
52100054150,48169,28
53663200076,48203,28
53800050033,48593,12
54589314175,48728,14
54589314175,48728,27
54589314177,48728,14
54589314175,48728,27
54589314187,48728,27
54589314187,48728,27
54589314187,48728,27
54589314187,48728,27
